id	title	identifiers	flags	source_snippets
goetzmann0734	Principality of Bulgaria Gold Loan Bond	No. 130,763 | Loan of 1902		notes:"No. 130,763" · notes:"Loan of 1902"
goetzmann0736	Province of Buenos Aires Consolidated Internal Debt Bond, La Plata, 1935	No. 4293 | No. 133,050 | No. 4393 | No. 4225		notes:"N° 4293," · notes:"No. 133,050" · page:goetzmann0737:"No. 4393," · page:goetzmann0737:"No. 4225,"
goetzmann0738	Kingdom of Serbia 4% Amortizable Loan of 1895 (reverse: amortization plan and coupon talons)	Loan of 1895		description:"Loan of 1895"
goetzmann0966	Bulgarian Government Gold Loan Bond	No. 008,761 | Loan of 1902		notes:"No. 008,761" · notes:"Loan of 1902"
goetzmann0974	Exposition Coloniale Internationale Paris Lottery Bond	No. 08682 | Serie 018		notes:"No. 08682" · notes:"Série 018,"
goetzmann0984	Province of Nova Scotia Government Redeemable Stock, London, 1904	No. C 1515		notes:"No. C 1515"
goetzmann0988	Banque Industrielle de Chine Share	No. 258044		notes:"No. 258044"
goetzmann0990	East Egyptian Railways Bond	No. R 10,592 | No. 10592 | No. 110 | No. 111 | No. 120		notes:"No. R 10,592" · page:goetzmann0992:"no. 10592" · page:goetzmann0992:"numbered 110" · page:goetzmann0992:"no. 111" · page:goetzmann0992:"no. 120"
goetzmann0996	Esterhazy Central Casse Partial Bond	No. 14,725		notes:"No. 14,725"
goetzmann0998	USSR Third State Loan for Reconstruction Bond, 1948	No. 055726 | No. 23		notes:"No. 055726," · notes:"No. 23"
goetzmann1000	USSR State Internal Lottery Loan Bond	No. 269867 | No. 087 | Loan of 1982		notes:"No. 269867," · notes:"No. 087" · notes:"Loan 1982"
goetzmann1002	Nationalist Government Whampoa Harbour Lottery Bond, Second Issue, Canton, 1926	No. 0439850		notes:"No. 0439850"
goetzmann1004	Imperial Russian Government 4% Consolidated Railway Bond, 1889	No. 236302 | Serie 1		notes:"No. 236302" · page:goetzmann1005:"Series 1,"
goetzmann1006	Shanghai Pudong Qiangsheng Taxi Co. Share Certificate (Shanghai, 1992)	No. DXII 0068056		notes:"No. DXII 0068056"
goetzmann1008	Société de l'Ikelemba Share Statutes (Congo Free State)	No. 1		page:goetzmann1009:"numbered 1"
goetzmann1010	Lippmann, Rosenthal & Co. Receipt for Russian Railway Bond Talons	No. 213,779		notes:"No. 213,779"
goetzmann1022	Hoogheemraadschap van den Lekdijk Bovendams Rentebrief	No. 74		notes:"No. 74,"
goetzmann0215	United States (Continental) Lottery Ticket, Philadelphia, 1776	No. 16m		notes:"No. 16m"
goetzmann0216	South Sea Annuities Dividend Warrant	No. 624		notes:"No. 624,"
goetzmann0226	State of Massachusetts-Bay War Bond issued to Seth Davenport, 1777	No. 7959		page:goetzmann0227:"No 7959"
goetzmann0229	Russian Imperial Treasury Note	No. 352814		notes:"No. 352814,"
goetzmann0230	Kingdom of Greece 2½% Guaranteed Gold Loan Bond, Athens, 1898	No. 30,731 | Loan of 1898		notes:"No. 30,731." · description:"loan of 1898"
goetzmann0231	Romania National Defense Fund 4% Army Equipment Bond (Bon pentru Înzestrarea Armatei), 500 Lei, Bucharest, 1940	No. 361,551 | No. 296		notes:"No. 361,551," · description:"No. 296"
goetzmann0232	American & British Securities Company Common Stock Certificate, Delaware, 1923	No. 18		notes:"No. 18,"
goetzmann0233	American Sugar Company 5.44% Cumulative Preferred Stock Certificate, Delaware, 1967	No. PD 21186		notes:"No. PD 21186."
goetzmann0234	American Trust Company Capital Stock Certificate (Boston)	No. 1951	year-like:No. 1951	notes:"No. 1951,"
